trip_id;pickup_datetime
1200086392;2015-07-01 00:12:00
1203768107;2015-07-01 00:12:00
1200650823;2015-07-01 00:12:06
1200323633;2015-07-01 00:12:09
1201034644;2015-07-01 00:12:20
1202560566;2015-07-01 00:12:38
1203350900;2015-07-01 00:12:39
1200955529;2015-07-01 00:12:40
1202989732;2015-07-01 00:12:40
1203520503;2015-07-01 00:12:46
1203023492;2015-07-01 00:13:01
1203272126;2015-07-01 00:13:02
1200560677;2015-07-01 00:13:05
1200493325;2015-07-01 00:13:23
1201384745;2015-07-01 00:13:23
1200097744;2015-07-01 00:13:30
1201328607;2015-07-01 00:13:53
1202819896;2015-07-01 00:14:04
1202277813;2015-07-01 00:14:15
1201045940;2015-07-01 00:14:28
1200639416;2015-07-01 00:14:38
1201905360;2015-07-01 00:14:39
1202424820;2015-07-01 00:14:42
1201498007;2015-07-01 00:14:46
1200154012;2015-07-01 00:14:52
1202538041;2015-07-01 00:14:58
1202695659;2015-07-01 00:15:07
1200097739;2015-07-01 00:15:09
1200075071;2015-07-01 00:15:12
1200549280;2015-07-01 00:15:13
1201894253;2015-07-01 00:15:14
1203644612;2015-07-01 00:15:19
1202639399;2015-07-01 00:15:25
1202311799;2015-07-01 00:15:32
1200075072;2015-07-01 00:15:39
1202075173;2015-07-01 00:15:41
1202616977;2015-07-01 00:15:41
1201984679;2015-07-01 00:15:45
1200244514;2015-07-01 00:15:46
1203678464;2015-07-01 00:15:46
1202402124;2015-07-01 00:15:46
1200165278;2015-07-01 00:15:47
1201170274;2015-07-01 00:15:47
1202379567;2015-07-01 00:15:49
1203350895;2015-07-01 00:15:57
1200221750;2015-07-01 00:15:57
1200459352;2015-07-01 00:16:09
1202526716;2015-07-01 00:16:18
1200538101;2015-07-01 00:16:25
1202583075;2015-07-01 00:16:27
1200515631;2015-07-01 00:16:35
1201565879;2015-07-01 00:16:38
1203497668;2015-07-01 00:16:38
1202831413;2015-07-01 00:16:50
1203215477;2015-07-01 00:17:06
1201735531;2015-07-01 00:17:13
1203193116;2015-07-01 00:17:13
1202899139;2015-07-01 00:17:14
1200740736;2015-07-01 00:17:15
1202199286;2015-07-01 00:17:16
1203350896;2015-07-01 00:17:18
1200210400;2015-07-01 00:17:22
1201645113;2015-07-01 00:17:24
1200357573;2015-07-01 00:17:26
1203678467;2015-07-01 00:17:31
1202120616;2015-07-01 00:17:35
1200695700;2015-07-01 00:17:44
1201950849;2015-07-01 00:17:55
1202910378;2015-07-01 00:17:57
1201826116;2015-07-01 00:17:58
1203000952;2015-07-01 00:18:02
1203249354;2015-07-01 00:18:06
1200018643;2015-07-01 00:18:06
1201995998;2015-07-01 00:18:08
1203587952;2015-07-01 00:18:08
1201147726;2015-07-01 00:18:16
1203722986;2015-07-01 00:18:16
1201295249;2015-07-01 00:18:21
1203238213;2015-07-01 00:18:21
1202007187;2015-07-01 00:18:26
1201554498;2015-07-01 00:18:27
1201554497;2015-07-01 00:18:28
1202966939;2015-07-01 00:18:34
1203689574;2015-07-01 00:18:36
1200887392;2015-07-01 00:18:41
1200684622;2015-07-01 00:18:45
1200662153;2015-07-01 00:18:48
1202706985;2015-07-01 00:18:50
1200425146;2015-07-01 00:18:52
1202075177;2015-07-01 00:18:54
1200944064;2015-07-01 00:18:56
1201735538;2015-07-01 00:19:01
1200459356;2015-07-01 00:19:01
1201803643;2015-07-01 00:19:03
1202560567;2015-07-01 00:19:06
1201102512;2015-07-01 00:19:18
1200357577;2015-07-01 00:19:18
1201532114;2015-07-01 00:19:21
